"[-4.285714285714286, -4.285714285714286, -2.1913142857142858, -1.4285714285714286]","[0, 1, 2, 3]","[63.01119259000001, 57.337037029, 55.49848866400001, 57.312758437000014]","[0, 1.8395668780000136, 1.923229832000004, 1.955308974000019]"
"[-2.857142857142857, -2.857142857142857, -0.7627428571428573, -0.0]","[0, 1, 2, 3]","[57.47890167600001, 54.517787232, 54.179189956000016, 56.432109722999996]","[0, 1.9547825719999992, 1.8877062970000225, 1.9273074169999802]"
"[-2.0, -2.0, 1.6960000000000002]","[0, 1, 2]","[58.96327237900001, 55.891078359999995, 59.97989067099999]","[0, 1.9455130310000044, 1.7774566669999956]"
"[-0.0, -0.0, 2.544]","[0, 1, 2]","[1667.913130476, 1635.87771224, 1673.5597928460006]","[0, 5.885866650000025, 9.615976045000025]"
